isin,ticker,yahoo_symbol,status
LU0908500753,LYP6,LYP6.DE,suffix
IE0031442068,IUSA,IUSA.DE,suffix
IE00BLNMYC90,XDEW,XDEW.DE,suffix
IE00B3XXRP09,VUSA,VUSA.DE,suffix
IE0005042456,IUSZ,IUSZ.DE,suffix
IE00BMTX1Y45,I500,I500.DE,suffix
IE00B4L5Y983,EUNL,EUNL.DE,suffix
IE00BD4TXV59,UETW,UETW.DE,suffix
IE00B6R52259,IUSQ,IUSQ.DE,suffix
IE00B4K48X80,EUNK,EUNK.DE,suffix
IE00B3RBWM25,VGWL,VGWL.DE,suffix
IE00BMC38736,VVSM,VVSM.DE,suffix
IE00BKM4GZ66,IS3N,IS3N.DE,suffix
IE00B0M63177,IQQE,IQQE.DE,suffix
IE000XZSV718,SPYL,SPYL.DE,suffix
IE000BI8OT95,MWRE,MWRE.DE,suffix
IE00B8GKDB10,VGWD,VGWD.DE,suffix
IE00B4L5YC18,EUNM,EUNM.DE,suffix
IE00B1YZSC51,IQQY,IQQY.DE,suffix
IE00BJ0KDR00,XD9U,XD9U.DE,suffix
IE00BFMXXD54,VUAA,VUAA.DE,suffix
IE00BF4G7076,JREU,JREU.DE,suffix
IE00B53SZB19,SXRV,SXRV.DE,suffix
IE00BJ0KDQ92,XDWD,XDWD.DE,suffix
IE00B6YX5C33,SPY5,SPY5.DE,suffix
IE00BHZPJ890,OM3L,OM3L.DE,suffix
IE00B3YCGJ38,P500,P500.DE,suffix
IE00BTJRMP35,XMME,XMME.DE,suffix
IE00BFY0GT14,SPPW,SPPW.DE,suffix
IE00BYML9W36,D500,D500.DE,suffix
LU1135865084,LYP5,LYP5.DE,suffix
IE00B3WJKG14,QDVE,QDVE.DE,suffix
IE00BFNM3G45,SGAS,SGAS.DE,suffix
IE00B4X9L533,H4ZJ,H4ZJ.DE,suffix
DE0005933956,EXW1,EXW1.DE,suffix
IE00BK5BQT80,VWCE,VWCE.DE,suffix
DE0002635307,EXSA,EXSA.DE,suffix
IE00B5BMR087,SXR8,SXR8.DE,suffix
IE00B44Z5B48,SPYY,SPYY.DE,suffix
IE0032077012,EQQQ,EQQQ.DE,suffix
IE000E66LX20,ACLE,ACLE.DE,suffix
IE0006IP4XZ8,WEB2,LUSAC.SW,isin_search
LU0192223062,IM2A,IM2A.DE,suffix
IE00B43HR379,QDVG,QDVG.DE,suffix
IE00BYVQ9F29,NQSE,NQSE.DE,suffix
IE000JIPY1U8,HEQQ,HEQQ.DE,suffix
IE00B52SF786,SXR2,SXR2.DE,suffix
IE00BS7K8821,SYB4,SYB4.DE,suffix
IE000AEBAUD0,UQB2,UQB2.DE,suffix
LU3119430224,XEZ5,XEZ5.DE,suffix
LU1931975079,PR1C,PR1C.DE,suffix
IE00B46G8275,H4ZT,H4ZT.DE,suffix
LU1940199711,LEAD,LEAD.DE,suffix
IE000S4A5WE2,BCFF,BCFF.DE,suffix
DE000ETFL011,EL4A,EL4A.DE,suffix
IE00BDZCKK11,QVMP,QVMP.DE,suffix
LU0446734369,UIME,UIME.DE,suffix
IE00BX7RR706,UBUS,UBUS.DE,suffix
IE00B4613386,SYBM,SYBM.DE,suffix
DE000A0D8Q31,EXX6,EXX6.DE,suffix
IE00BF2GFH28,TRDS,TRDS.DE,suffix
IE000EXUE0G2,XNDX,XNDX.DE,suffix
LU0290357846,DBXG,DBXG.DE,suffix
IE000UATQPE2,XZSW,XZSW.DE,suffix
IE000WAKWCV7,JEBE,JEBE.DE,suffix
IE000TMJDGV1,FTCS,FTCS.DE,suffix
IE000Z9SJA06,XDPU,XDPU.DE,suffix
LU0468896575,D5BB,D5BB.DE,suffix
IE000H5X52W8,CEBD,CEBD.DE,suffix
